timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946832404384,-4,-1,18,3,5,-35,-11,-4
1523946832420424,1,1,4,-8,6,21,2,0
1523946832420424,0,0,6,28,-33,-34,-2,1
1523946832421427,1,3,-9,-17,-11,-5,1,-5
1523946832421427,-2,4,3,-2,-41,-11,0,3
1523946832433461,2,7,9,10,30,43,13,7
1523946832433461,1,-6,-13,-3,-3,6,-3,-2
1523946832442484,-1,-1,-11,5,7,2,1,-4
1523946832442484,-7,-8,-14,-10,-40,-21,-8,-9
1523946832455519,-2,0,6,1,-5,-20,-14,-5
1523946832455519,6,12,12,11,69,96,34,14
1523946832464543,3,0,-1,2,-3,-7,3,5
1523946832464543,-1,2,0,-11,4,-7,2,0
1523946832479587,-5,-12,-4,2,1,-1,-11,-8
1523946832479587,1,6,-1,-8,-40,-57,-13,-3
1523946832481589,-3,-1,-2,-14,33,27,5,0
1523946832481589,7,6,10,28,-23,5,1,4
1523946832493620,-1,1,-4,-3,29,11,0,-1
1523946832493620,-4,-5,-16,-12,-50,-29,-16,-5
1523946832502643,3,0,0,-13,-27,17,16,8
1523946832502643,-7,-9,-6,-4,38,-1,-11,-8
1523946832515678,-1,-3,-9,9,6,0,-5,1
1523946832515678,1,-3,-6,-13,-23,-14,-5,-5
1523946832524701,-4,-1,-6,3,-23,-63,-13,-7
1523946832524701,-1,3,2,-5,4,49,9,3
1523946832539742,3,-1,-1,7,-38,-23,-4,-1
1523946832539742,-2,-3,1,-2,-15,-57,-12,-4
1523946832541747,3,2,-1,3,62,88,20,4
1523946832541747,-4,-6,-17,-7,-16,-80,-4,-3
1523946832553785,0,-8,-19,-13,85,11,-8,-1
1523946832553785,-3,-5,8,2,-75,-16,-18,-8
1523946832562806,-1,-2,7,17,-10,-15,-4,-4
1523946832562806,-1,-3,-11,-16,-21,1,1,1
1523946832575838,-9,-7,-10,-12,-52,-9,-2,-4
1523946832575838,0,1,-3,8,39,5,11,2
1523946832584864,2,1,3,19,8,-9,-12,0
1523946832584864,2,4,32,-4,9,25,0,-1
1523946832599902,2,11,7,14,31,3,5,-1
1523946832599902,1,-4,-10,-10,7,9,0,2
1523946832600905,0,-6,-14,-3,-37,21,-2,0
1523946832600905,1,-1,-10,17,-14,-30,-4,5
1523946832612940,2,0,13,-10,-11,49,24,7
1523946832612940,-9,-13,-16,12,65,3,-16,-14
1523946832621961,-1,-3,-8,-17,-11,-67,-11,-7
1523946832621961,4,1,-3,-15,17,65,2,1
1523946832636000,-5,1,22,19,12,-24,-7,-5
1523946832636000,0,0,-9,-5,-33,8,7,-2
1523946832645029,-4,-5,-18,-21,-34,-34,-11,-2
1523946832645029,-2,2,-2,-7,-41,5,3,3
1523946832660062,-4,-13,-32,-11,18,12,-11,-10
1523946832660062,3,2,-16,-29,-1,-3,15,7
1523946832662074,0,7,33,10,9,8,-2,-3
1523946832662074,0,-8,-39,-3,-35,5,-3,2
1523946832673097,0,6,22,23,-8,-29,-2,-5
1523946832673097,1,3,13,17,25,47,7,6
1523946832682121,-1,-8,-20,5,10,6,-10,-1
1523946832682121,-6,-3,5,10,14,-1,3,-3
1523946832696162,-3,-7,-27,-15,-26,-15,-7,0
1523946832696162,4,11,39,9,-17,-21,1,6
1523946832705183,-3,-5,-25,-10,-29,6,9,3
1523946832705183,2,-5,-6,7,5,-9,-18,-6
1523946832719219,-4,3,3,-14,-2,-3,-1,0
1523946832719219,-5,-12,-32,-14,-6,23,-2,-2
1523946832726242,2,7,23,1,80,8,-4,1
1523946832726242,2,1,20,-3,24,36,11,5
1523946832733256,1,3,20,0,-30,-35,-3,0
1523946832733256,2,4,5,3,6,43,8,2
1523946832742281,-1,-1,-3,15,-39,-37,-3,0
1523946832742281,-4,-5,-5,-2,-13,-12,-6,-5
1523946832756318,7,9,-9,13,6,16,11,13
1523946832756318,-4,-1,12,-27,-46,-14,-12,-6
1523946832765343,1,-11,-11,-22,-7,19,9,4
1523946832765343,1,-2,-8,7,22,-32,-13,-11
1523946832779383,-2,-2,2,-2,-3,14,8,3
1523946832779383,1,-5,-4,-17,7,-25,1,-2
1523946832786404,2,5,12,-13,-48,-12,-13,-3
1523946832786404,-1,6,7,3,68,15,25,10
1523946832793417,-4,-18,-33,-4,32,-9,-27,-15
1523946832793417,2,11,20,19,-28,-28,29,8
1523946832802444,-5,-10,-23,32,-6,20,-4,-7
1523946832802444,2,-6,-4,0,-17,-20,-11,-4
1523946832815479,-1,9,0,4,12,14,8,7
1523946832815479,-4,-7,-19,-6,16,0,-22,-7
1523946832824499,1,6,8,-14,-4,34,14,4
1523946832824499,-3,1,12,0,-13,-9,1,0
1523946832838537,1,6,26,-6,-54,-2,4,-1
1523946832838537,3,-10,-36,-4,67,27,-7,4
1523946832847561,-2,-5,0,-5,-51,-26,1,0
1523946832847561,-7,-11,-21,-23,-34,-35,-15,-12
1523946832853583,0,-10,-21,-26,-36,-47,-35,-8
1523946832853583,-2,13,24,15,-4,54,19,5
1523946832862607,-4,-12,-19,-15,27,-27,-22,-13
1523946832862607,2,15,14,-14,-51,3,5,6
1523946832875636,3,6,9,26,32,8,13,4
1523946832875636,-5,-8,-6,-15,-4,-12,-25,-15
1523946832884667,6,-5,-19,4,27,22,-1,5
1523946832884667,-3,-4,-12,-1,-31,20,0,-6
1523946832898697,-1,4,24,-3,45,10,17,5
1523946832898697,-3,-12,-27,24,-6,-25,-14,-11
1523946832907720,-4,3,0,0,-13,-9,-7,-7
1523946832907720,6,7,12,-4,-2,-25,-8,-3
1523946832913738,0,-1,-13,4,11,-8,8,18
1523946832913738,-7,-25,-39,-25,8,-33,-34,-21
1523946832922761,-5,-1,-1,10,-29,27,1,0
1523946832922761,-4,-4,9,25,31,39,-12,-10
1523946832935796,-4,-12,-33,-34,-69,23,-4,-11
1523946832935796,3,9,33,53,58,-4,-6,-1
1523946832944825,-1,7,7,-9,-31,-24,13,1
1523946832944825,-3,-9,-21,-24,34,-24,12,4
1523946832958857,-2,-13,-17,4,-40,11,13,2
1523946832958857,2,2,2,-15,-72,-41,-9,0
1523946832967884,1,2,0,15,39,-5,-13,-2
1523946832967884,-1,2,8,22,13,34,41,13
1523946832972895,3,13,33,-15,-5,-21,20,8
1523946832972895,-6,0,-2,-30,11,-9,-18,-2
1523946832981918,9,5,-7,-13,-19,13,39,22
1523946832981918,-4,-18,-37,-16,11,-30,-17,-5
1523946832995958,2,-6,10,25,19,-12,-18,-4
1523946832995958,-6,-5,-5,-16,-35,-8,18,-10
1523946833004979,0,10,11,28,3,20,-4,-1
1523946833004979,-2,-2,4,6,55,14,-23,-8
1523946833018015,5,3,-7,11,-4,31,13,9
1523946833018015,2,2,-3,-8,-1,1,18,15
1523946833027040,-5,-17,-18,-8,-36,-27,-27,-12
1523946833027040,2,9,7,26,41,33,23,11
1523946833034060,-1,-4,-3,11,28,-17,-21,-17
1523946833034060,-1,-3,-6,-14,-65,-42,-13,-3
1523946833042078,0,6,18,15,107,-3,-1,3
1523946833042078,-6,-7,4,9,-23,0,1,-10
1523946833056114,0,-11,-17,-13,31,21,-7,-3
1523946833056114,-1,2,5,16,-25,6,8,0
1523946833065143,-1,8,37,3,-12,-9,11,3
1523946833065143,-7,-15,-30,-34,-44,-30,-15,-6
1523946833078182,-3,-1,4,9,13,10,-4,-5
1523946833078182,1,-1,3,4,-5,1,1,3
1523946833087199,-2,0,4,-16,-10,20,-4,-1
1523946833087199,1,4,1,-9,36,-24,-20,-8
1523946833093217,-1,-5,-21,13,-40,-45,4,7
1523946833093217,0,-2,-2,-45,64,-4,-10,-3
1523946833102238,-1,-7,-25,-3,-23,-9,3,-5
1523946833102238,1,-2,7,2,-21,70,-9,1
1523946833116278,-1,2,-2,-67,-20,40,4,-2
1523946833116278,-1,1,48,47,-50,-22,-9,-3
1523946833125299,-3,-8,-17,-13,81,6,7,0
1523946833125299,3,6,6,-9,-3,-36,6,4
1523946833138335,-6,8,25,-19,-20,-8,-6,-6
1523946833138335,-1,-6,-17,19,37,41,9,0
1523946833147359,0,1,-9,-11,-34,-10,22,3
1523946833147359,4,10,22,38,13,10,10,11
1523946833153377,2,0,21,19,51,13,3,1
1523946833153377,-7,-5,-5,-14,-45,-38,-4,-12
1523946833162398,4,3,10,15,57,77,7,6
1523946833162398,-4,-6,-22,-11,-2,-34,-11,-7
1523946833175432,-3,0,1,20,9,10,-5,-7
1523946833175432,6,14,20,4,3,29,30,17
1523946833185463,-6,-11,-10,-23,-37,-51,-24,-10
1523946833185463,1,7,2,-10,-31,18,3,-4
1523946833198496,1,2,13,38,21,52,1,-3
1523946833198496,-1,-9,-17,-4,17,-10,-19,-6
1523946833207517,-1,-7,-15,3,-20,-26,-8,-1
1523946833207517,0,4,-2,-11,5,-51,-3,-1
1523946833213534,0,1,-11,1,-59,-22,7,5
1523946833213534,-2,-6,-34,-18,42,5,-4,2
1523946833222557,-3,-3,-10,-3,-47,1,-4,-5
1523946833222557,-2,-2,12,-8,-18,-36,-15,-6
1523946833235596,-1,-5,-23,6,26,19,3,-1
1523946833235596,0,3,-9,1,-14,9,8,0
1523946833244617,-2,3,7,-9,33,-21,4,-1
1523946833244617,-1,-1,-10,-3,-25,18,7,3
1523946833258655,2,-2,-5,-13,0,-11,-5,-1
1523946833258655,-3,-7,-3,-3,6,-22,-2,-4
1523946833267679,-2,3,10,44,2,6,-11,-5
1523946833267679,3,-5,-21,-29,-13,7,-4,2
1523946833273697,-5,-4,-6,-1,2,-29,-19,-12
1523946833273697,4,9,-2,4,4,22,32,15
1523946833282719,-1,-10,-17,-18,-23,-7,-22,-8
1523946833282719,-5,2,11,13,5,-14,17,4
1523946833295754,1,-1,-11,9,11,37,-12,-2
1523946833295754,0,2,27,-4,5,-16,-2,-3
1523946833304776,-1,3,-11,-9,12,14,5,-5
1523946833304776,2,-1,-4,1,-12,-5,2,-1
