timestamp,x,y,z
1523946851295608,-16.1875,-7.8125,27.875
1523946851312659,-15.75,-5.75,31.8125
1523946851334713,-10.4375,-3.5625,39
1523946851355766,-1.25,-2.6875,35.875
1523946851371808,-4.3125,-4.1875,31
1523946851394871,-6.3125,-5.6875,29.5625
1523946851415927,-12.5,-4.5625,28.5625
1523946851431968,-17.5625,-6.875,30.4375
1523946851455030,-10.6875,-4,29
1523946851476086,-4.125,-2.25,26.4375
1523946851492128,0.25,-2.125,28
1523946851515190,-7.75,-2.8125,28.4375
1523946851536246,-18.5625,-3.875,33.375
1523946851552291,-21.375,-3.25,40.375
1523946851574348,-13.375,0.75,45.9375
1523946851596408,3.5,0.75,51.25
1523946851612455,7.75,1.4375,45.0625
1523946851634512,5.5625,0.5625,37
1523946851655563,3.625,-4.5625,31.3125
1523946851672609,1.75,-4.875,31.9375
1523946851694666,-2.6875,-3.125,30.5
1523946851715724,1.6875,-4.3125,35.5
1523946851731765,8.5625,-2.0625,36.8125
1523946851754828,13.75,1.25,38.6875
1523946851775883,15.625,3.6875,34
1523946851791926,0.6875,-0.75,31.9375
1523946851814987,-9.0625,-4.8125,31.0625
1523946851836047,-8.1875,-1.3125,28.3125
1523946851852085,6.6875,-0.0625,24.25
1523946851875146,16.5,-2.3125,20.8125
1523946851896206,11.1875,-0.6875,19.4375
1523946851912251,-1.0625,-2.375,19.3125
1523946851935307,-13.0625,-5.5,21.5
1523946851956363,-13.5625,-1.875,22.6875
1523946851972406,-1.875,1.8125,23.3125
1523946851994464,2.4375,0.9375,21.9375
1523946852015520,-2,0.25,24.9375
1523946852032566,-9.1875,0.375,25.75
1523946852053623,-11.5625,-0.625,24
1523946852076683,-2.5625,0.25,22.5625
1523946852091724,13.25,4,17.625
1523946852113783,19.8125,7.6875,5.5625
1523946852136845,17.5,7.6875,-1.1875
1523946852151881,9.25,6.125,-8
1523946852173941,0.125,6.8125,-16.9375
1523946852196001,1.875,11.25,-23.1875
1523946852212051,6.4375,15.25,-21.3125
1523946852234109,-0.1875,17.6875,-16.0625
1523946852256160,-8.875,17.375,-9.0625
1523946852271200,-11.75,19.5625,-6.75
1523946852294262,-3.4375,22.75,-3.8125
1523946852316325,5.25,25.8125,-5.25
1523946852339381,7.0625,29.625,-7.1875
1523946852354422,10.875,31.75,-8.1875
1523946852376480,12.375,26.0625,-12.75
1523946852398540,15.5625,25.1875,-15.5625
1523946852413580,27.125,29.5625,-17.9375
1523946852436643,30.0625,31,-20.0625
1523946852458700,19.5,28.375,-20.625
1523946852473739,8.4375,28.75,-25.4375
1523946852496802,4.1875,28.5625,-30.625
1523946852518862,7.5625,30,-33.9375
1523946852533907,17.5,29.4375,-36.3125
1523946852556961,8.25,29.3125,-33.8125
1523946852579025,3.8125,29.5625,-31.6875
1523946852594059,0.9375,29.0625,-31.6875
1523946852616117,6.3125,27.6875,-29.0625
1523946852639177,15.3125,27,-26.1875
1523946852654218,11.4375,26.0625,-23.6875
1523946852676276,-10,29.1875,-21.0625
1523946852699340,-13.625,29.3125,-15
1523946852714378,0.4375,34.0625,-8.1875
1523946852736438,23.5625,44.5625,-5.3125
1523946852758496,42.125,53.5625,-7.25
1523946852773535,48.5625,61.5625,-15
1523946852796598,41.125,72.5,-22.125
1523946852818658,27.5,83.125,-28.375
1523946852833696,21.5625,89.375,-38.4375
1523946852856758,29.625,91.375,-51.1875
1523946852878817,49.5,84.625,-56.1875
1523946852893855,72.4375,70.0625,-52.375
1523946852916921,78,59.25,-55.5625
1523946852938974,58.5625,43.75,-63.1875
1523946852954016,31.875,30.8125,-69.5625
1523946852976074,23.8125,26.9375,-76.875
1523946852999137,27.1875,27.3125,-81.75
1523946853014176,33.3125,23.6875,-76.375
1523946853036234,34.5625,9.625,-67.375
1523946853059295,23.375,-3.4375,-58.5625
1523946853074336,11.25,-15.75,-47.5
1523946853096394,13,-20.9375,-41.125
1523946853119456,20.1875,-21,-32.5
1523946853133494,25.1875,-23.25,-20.4375
1523946853156554,23,-26.9375,-13.1875
1523946853178619,17.375,-28.1875,-8.1875
1523946853193652,10.3125,-26.75,-2.375
1523946853216720,8.25,-29.1875,4.8125
1523946853238771,-1.1875,-31.125,5.875
1523946853255816,3.6875,-34.125,20.0625
1523946853276873,19.6875,-36.875,27.9375
1523946853298934,17.5,-31.125,35.9375
1523946853314975,18.75,-25.1875,45.25
1523946853336035,18.875,-23.6875,49.9375
1523946853359094,-1.1875,-11.8125,62.25
1523946853375134,-13.0625,8,65.0625
1523946853396192,-19.25,24.6875,57.6875
1523946853419257,-30.875,37.6875,58.25
1523946853435294,-39.1875,49.4375,56.1875
1523946853456351,-46.125,60.125,47.6875
1523946853479413,-60.0625,67.25,29
1523946853496458,-58.5625,65.375,4.5
1523946853516514,-30,55.0625,-18.3125
1523946853538569,22.9375,40.9375,-45.25
1523946853555614,51.375,35.625,-80.9375
1523946853576670,54.25,30.9375,-105.813
1523946853598731,53.5,25.4375,-110.625
1523946853615777,62.8125,14.125,-88
1523946853636831,62.5625,-2.75,-73.4375
1523946853658891,49.75,-9.9375,-66.875
1523946853675934,35.625,-14.5,-42.8125
1523946853695990,34.8125,-10.5,0.125
1523946853719051,-0.5625,-17.0625,5.875
1523946853735092,-6.3125,-29.9375,2.625
1523946853756147,27.4375,-19.875,-9.0625
1523946853779211,47.4375,-9.5625,-10.25
1523946853794256,19,1.5625,-17.25
1523946853816314,-11.5,6.9375,-7.8125
1523946853839370,-25.6875,8,-5.5625
1523946853854409,-1.0625,2.4375,1.1875
1523946853876468,36.25,-5.5625,0.4375
1523946853899533,45.6875,-12.125,4.1875
1523946853921588,48.375,-10.5,-0.8125
1523946853936627,54.875,-11.9375,-3.3125
1523946853958686,41.1875,-11.875,-11.5625
1523946853981750,18.625,-6.8125,-15.625
1523946853996786,30,-3.9375,-21.5
1523946854018849,31.0625,-3.5625,-24.8125
1523946854041909,15.75,0.9375,-20.3125
1523946854056948,3.4375,2.25,-13.9375
1523946854079007,-6.625,3.8125,-8.9375
1523946854102069,-16.3125,2.75,-0.4375
1523946854116105,-4.0625,-0.0625,7.5625
1523946854139165,6.375,-0.1875,14
1523946854156211,4.25,-1,17.875
1523946854178271,-6.25,-4,13.375
1523946854199329,-3.625,-0.875,11.625
1523946854221384,16.1875,5.1875,5.375
1523946854237428,19.4375,5.125,-3.75
1523946854258486,0.0625,12.8125,-10.5625
