timestamp,x,y,z,w
1523946845101152,-0.163208,0.838745,-0.496765,-0.152039
1523946845123202,-0.163391,0.838806,-0.496521,-0.152405
1523946845138237,-0.163025,0.838745,-0.496643,-0.152405
1523946845161298,-0.162964,0.838745,-0.496704,-0.152344
1523946845183357,-0.16272,0.838806,-0.496643,-0.152466
1523946845198396,-0.16217,0.83905,-0.49646,-0.152527
1523946845220455,-0.161804,0.839172,-0.496277,-0.152649
1523946845243517,-0.161804,0.839172,-0.496277,-0.152649
1523946845258556,-0.162231,0.839172,-0.496094,-0.152832
1523946845280616,-0.162292,0.839355,-0.49585,-0.152649
1523946845303677,-0.16217,0.839417,-0.49585,-0.152466
1523946845318718,-0.161926,0.839417,-0.495911,-0.152527
1523946845340776,-0.161804,0.839661,-0.495483,-0.152466
1523946845363836,-0.161926,0.840088,-0.49469,-0.152527
1523946845377873,-0.161926,0.840271,-0.494446,-0.152527
1523946845400943,-0.161804,0.840149,-0.49469,-0.152649
1523946845422998,-0.16156,0.840149,-0.494751,-0.152649
1523946845446055,-0.16095,0.840393,-0.494446,-0.153015
1523946845461095,-0.160095,0.840759,-0.493835,-0.153564
1523946845483154,-0.159607,0.840881,-0.493591,-0.154175
1523946845506219,-0.159424,0.84082,-0.493652,-0.15448
1523946845521255,-0.159302,0.840759,-0.493835,-0.154663
1523946845543314,-0.159485,0.840698,-0.493774,-0.154724
1523946845566377,-0.159912,0.840881,-0.493286,-0.154907
1523946845580413,-0.159973,0.840942,-0.493164,-0.154907
1523946845603476,-0.15979,0.840759,-0.49353,-0.154968
1523946845626537,-0.159729,0.840515,-0.493835,-0.155273
1523946845640573,-0.160217,0.840759,-0.493225,-0.15564
1523946845663633,-0.160706,0.84137,-0.492004,-0.155701
1523946845685693,-0.160767,0.841614,-0.491699,-0.15509
1523946845700735,-0.16095,0.841553,-0.492065,-0.154297
1523946845723793,-0.161194,0.841309,-0.492493,-0.153687
1523946845745852,-0.161072,0.84137,-0.492615,-0.153381
1523946845760894,-0.160645,0.841797,-0.492004,-0.15332
1523946845782949,-0.160217,0.842346,-0.49115,-0.153503
1523946845806017,-0.160095,0.842529,-0.490723,-0.153992
1523946845821052,-0.160095,0.84259,-0.490356,-0.154724
1523946845843110,-0.160339,0.842651,-0.489929,-0.15564
1523946845866171,-0.1604,0.842834,-0.489502,-0.155884
1523946845881212,-0.1604,0.842651,-0.489868,-0.155823
1523946845903270,-0.160339,0.842468,-0.490173,-0.155701
1523946845926332,-0.160278,0.842346,-0.490479,-0.155762
1523946845940369,-0.159912,0.842529,-0.490295,-0.15564
1523946845963431,-0.159546,0.843201,-0.489197,-0.15564
1523946845985491,-0.159058,0.844177,-0.487793,-0.155334
1523946846000563,-0.158447,0.844482,-0.487854,-0.154175
1523946846023590,-0.158081,0.844604,-0.488281,-0.152466
1523946846045649,-0.159058,0.844788,-0.488098,-0.151123
1523946846060690,-0.15979,0.845337,-0.487244,-0.149902
1523946846083769,-0.1604,0.845947,-0.486267,-0.148865
1523946846105811,-0.160706,0.846436,-0.485596,-0.148071
1523946846120850,-0.161072,0.846741,-0.484985,-0.147766
1523946846142907,-0.161011,0.847168,-0.484131,-0.148315
1523946846165968,-0.160095,0.847717,-0.483093,-0.149536
1523946846181008,-0.15918,0.848511,-0.481506,-0.151001
1523946846203068,-0.157959,0.849182,-0.480286,-0.152527
1523946846226129,-0.156799,0.84967,-0.47937,-0.153809
1523946846241168,-0.155701,0.850037,-0.478882,-0.154541
1523946846263228,-0.154724,0.850403,-0.478516,-0.154663
1523946846286289,-0.154419,0.850464,-0.478638,-0.154358
1523946846301331,-0.153931,0.850525,-0.478638,-0.154175
1523946846323390,-0.153748,0.850586,-0.478699,-0.153931
1523946846345448,-0.153503,0.850342,-0.479248,-0.153809
1523946846360486,-0.153198,0.850159,-0.479675,-0.153809
1523946846383581,-0.153137,0.849976,-0.480042,-0.153992
1523946846405613,-0.152588,0.849792,-0.480347,-0.154358
1523946846420646,-0.151794,0.849487,-0.481018,-0.154724
1523946846443707,-0.151367,0.84906,-0.481812,-0.154785
1523946846465764,-0.15094,0.848938,-0.482178,-0.154907
1523946846482815,-0.150635,0.848999,-0.482178,-0.154968
1523946846503868,-0.150635,0.848999,-0.482178,-0.154968
1523946846525927,-0.150635,0.848999,-0.482178,-0.154968
1523946846541969,-0.150513,0.848999,-0.482117,-0.155212
1523946846563025,-0.150391,0.848999,-0.481995,-0.155701
